ID,Label,Definition,Type,Domain,Range,Parent Class,Equivalent Class,Disjoint Class,Definition Source,Exact Synonym,Broad Synonym,Is part of,Comments
ID,LABEL,A IAO:0000115,TYPE,DOMAIN,RANGE,SC %,EC %,DC %,>A IAO:0000119,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasBroadSynonym SPLIT=|,>A BFO:0000050,A rdfs:comment 
BFO:0000001,entity,,,,,,,,,,,,
BFO:0000002,continuant,,,,,entity,,,,,,,
BFO:0000003,occurrent,,,,,entity,,,,,,,
BFO:0000004,independent continuant,,,,,continuant,,,,,,,
BFO:0000006,spatial region,,,,,immaterial entity,,,,,,,
BFO:0000008,temporal region,,,,,occurrent,,,,,,,
BFO:0000009,two-dimensional spatial region,,,,,spatial region,,,,,,,
BFO:0000011,spatiotemporal region,,,,,occurrent,,,,,,,
BFO:0000015,process,,,,,occurrent,,,,,,,
BFO:0000016,disposition,,,,,realizable entity,,,,,,,
BFO:0000017,realizable entity,,,,,specifically dependent continuant,,,,,,,
BFO:0000018,zero-dimensional spatial region,,,,,spatial region,,,,,,,
BFO:0000019,quality,,,,,specifically dependent continuant,,,,,,,
BFO:0000020,specifically dependent continuant,,,,,continuant,,,,,,,
BFO:0000023,role,,,,,realizable entity,,,,,,,
BFO:0000024,fiat object part,,,,,material entity,,,,,,,
BFO:0000026,one-dimensional spatial region,,,,,spatial region,,,,,,,
BFO:0000027,object aggregate,,,,,material entity,,,,,,,
BFO:0000028,three-dimensional spatial region,,,,,spatial region,,,,,,,
BFO:0000029,site,,,,,immaterial entity,,,,,,,
BFO:0000030,object,,,,,material entity,,,,,,,
BFO:0000031,generically dependent continuant,,,,,continuant,,,,,,,
BFO:0000034,function,,,,,disposition,,,,,,,
BFO:0000035,process boundary,,,,,occurrent,,,,,,,
BFO:0000038,one-dimensional temporal region,,,,,temporal region,,,,,,,
BFO:0000040,material entity,,,,,independent continuant,,,,,,,
BFO:0000140,continuant fiat boundary,,,,,immaterial entity,,,,,,,
BFO:0000141,immaterial entity,,,,,independent continuant,,,,,,,
BFO:0000142,one-dimensional continuant fiat boundary,,,,,continuant fiat boundary,,,,,,,
BFO:0000144,process profile,,,,,process,,,,,,,
BFO:0000145,relational quality,,,,,quality,,,,,,,
BFO:0000146,two-dimensional continuant fiat boundary,,,,,continuant fiat boundary,,,,,,,
BFO:0000147,zero-dimensional continuant fiat boundary,,,,,continuant fiat boundary,,,,,,,
BFO:0000148,zero-dimensional temporal region,,,,,temporal region,,,,,,,
BFO:0000182,history,,,,,process,,,,,,,
MSIO:0000150,metabolic flux,,,,,process profile,,,,flux|metabolic reaction rate,,fluxome,fluxome
MFAO:0000020,intracellular flux,Net rate at which a metabolic reaction proceeds in nominal direction within a living biological system,,,,metabolic flux,,extracellular flux,,,,,
MSIO:0000151,extracellular flux,,,,,metabolic flux,,intracellular flux,,,,,
MFAO:0000000,fluxome,The complete set of metabolic fluxes (reaction rates) in a biological system at a given point in time.,,,,immaterial entity,,,,,,,
MSIO:0000182,fluxomics investigation,,,,,,,,,,,,
MFAO:0000001,fluxomics,Experimental approaches to determine the rates of metabolic reactions - the metabolic fluxes - within a biological entity.,,,,,,,,,,,
MFAO:0000002,Phenotype,A directly observable biochemical characteristic of a living biological system,,,,,,,,,,,
MSIO:0000059,metabolic pathway,a series of connected biochemical reactions catalyzed by enzymes,,,,generically dependent continuant,,,,pathway,,metabolic network,metabolic network
MSIO:0000058,metabolic network,a set of interconnected pathways of biochemical reactions within living cells ,,,,generically dependent continuant,,,,network,,,
MFAO:0000003,metabolic reaction,a biochemical reaction within a living organism and is part of the metabolism.,,,,process,,,,,,metabolic pathway,
MFAO:0000004,reaction bidirectionality,A characteristic of a biochemical reaction which proceeds simultaneously in forward and backward direction,object property,metabolic reaction,xsd:boolean,,,,,,,,
MFAO:0000005,reaction reversibility,The property of metabolic reaction to proceed in forward and backward direction,data property,metabolic reaction,xsd:boolean,,,,,reaction bidirectionality,,,property or class
MFAO:0000006,has_flux,,object property,metabolic reaction,metabolic flux,,,,,,,,
MFAO:0000007,has_reactant,,object property,metabolic reaction,compound,,,,,,,,
MFAO:0000008,has_product,,object property,metabolic reaction,compound,,,,,,,,
MFAO:0000009,has_nominal_direction,,object property,bidirectional reaction,reaction direction,,,,,,,,
MFAO:0000010,unidirectional reaction,"A metabolic reaction that solely operates in a single direction, from educts to products",,,,metabolic reaction,'metabolic reaction' and ('reaction reversibility' value false),bidirectional reaction,,irreversible reaction,,,property or class
MFAO:0000011,bidirectional reaction,A metabolic reaction that operates simultaneously in forward and backward direction.,,,,metabolic reaction,'metabolic reaction' and ('reaction reversibility' value true),unidirectional reaction,,reversible reaction,,,property or class
MFAO:0000012,reaction direction,A net path that a chemical system to reach or maintain a state of equilbrium,,,,specifically dependent continuant,,,,,,,
MFAO:0000013,forward direction,the reaction that proceeds from educts to products,,,,reaction direction,,,,,,,
MFAO:0000014,backward direction,the reaction that proceeds from products to educts,,,,reaction direction,,,,reverse direction,,,
MFAO:0000015,equilibrium,the reaction that the rate of the forward reaction equals the rate of the backward reaction,,,,reaction direction,,,,,,,
NCIT:C43366,compound,,,,,independent continuant,,,,,,,
CHEBI:25212,metabolite,,,,,compound,,,,,,,
MSIO:0000070,metabolite pool size estimate,,data property,metabolite,xsd:double,,,,,,,,
SBO:0000010,reactant,Starting metabolite of a metabolic reaction,,,,metabolite,,,,educt,reagent,,
SBO:0000015,substrate,,,,,reactant,,,,,,,
SBO:0000011,product,Product metabolite of a metabolic reaction,,,,metabolite,,,,,,,
MFAO:0000016,flux map,"Quantitative visualization of reaction fluxes within a metabolic network, typically scaled by flux magnitude and annotated with directionality.",,,,generically dependent continuant,,,,,,,
MFAO:0000017,fluxotype,"the specific pattern or distribution of metabolic fluxes within a biological system, such as a cell or organism, under defined conditions.",,,,generically dependent continuant,,,,,,,
MFAO:0000018,Stoichiometry-based fluxomics method,Set of mathemetical approaches for characterizing metabolic states that constrain the possible flux space given a reaction stoichiometry,,,,fluxomics investigation,,,,,,,
MFAO:0000019,Constraint-based fluxomics method,"Set of mathematical approaches in which the possible fluxes are constrained by a minimum and maximum range of bounds, and further restrictions such as the reaction stoichiometry or objectives",,,,Stoichiometry-based fluxomics method,,,,,,,
